XFLR5 v6.02 Beta

Wing name :        NAC642A015 Wing
Wing polar name :  T1-54.4 m/s-VLM1-x0.000mm
Freestream speed :  54.400 m/s

   alpha      CL          ICd        PCd        TCd        CY        Cm         Rm         Ym       IYm       QInf        XCP
 _________  ________   ________  _________  _________  _________  _________  _________  _________  _________  _________  _________
   -3.000  -0.217300   0.002744   0.006500   0.009244   0.000000   0.051686  -0.000000  -0.000000  -0.000000   54.4000     0.0572
   -2.500  -0.181178   0.001907   0.006479   0.008386   0.000000   0.043094  -0.000000  -0.000000   0.000000   54.4000     0.0571
   -2.000  -0.145002   0.001221   0.006467   0.007688   0.000000   0.034489  -0.000000  -0.000000   0.000000   54.4000     0.0571
   -1.500  -0.108784   0.000687   0.006451   0.007139   0.000000   0.025873  -0.000000  -0.000000  -0.000000   54.4000     0.0571
   -1.000  -0.072533   0.000305   0.006431   0.006737   0.000000   0.017249   0.000000  -0.000000   0.000000   54.4000     0.0571
   -0.500  -0.036260   0.000076   0.006431   0.006508   0.000000   0.008620  -0.000000  -0.000000  -0.000000   54.4000     0.0571
    0.000   0.000023   0.000000   0.006453   0.006453   0.000000  -0.000011  -0.000000  -0.000000   0.000000   54.4000     0.1179
    0.500   0.036307   0.000077   0.006427   0.006504   0.000000  -0.008643   0.000000   0.000000  -0.000000   54.4000     0.0571
    1.000   0.072579   0.000306   0.006435   0.006741   0.000000  -0.017272  -0.000000  -0.000000   0.000000   54.4000     0.0571
    1.500   0.108830   0.000688   0.006469   0.007156   0.000000  -0.025896  -0.000000  -0.000000   0.000000   54.4000     0.0571
    2.000   0.145049   0.001222   0.006461   0.007683   0.000000  -0.034512   0.000000  -0.000000   0.000000   54.4000     0.0571
    2.500   0.181225   0.001908   0.006476   0.008384   0.000000  -0.043117  -0.000000  -0.000000  -0.000000   54.4000     0.0572
    3.000   0.217347   0.002745   0.006504   0.009249   0.000000  -0.051709   0.000000   0.000000  -0.000000   54.4000     0.0572
    3.500   0.253405   0.003733   0.006530   0.010263   0.000000  -0.060286   0.000000  -0.000000   0.000000   54.4000     0.0572
    4.000   0.289387   0.004871   0.006565   0.011436   0.000000  -0.068844   0.000000  -0.000000  -0.000000   54.4000     0.0572
    4.500   0.325285   0.006159   0.006622   0.012781   0.000000  -0.077381   0.000000  -0.000000  -0.000000   54.4000     0.0573
    5.000   0.361086   0.007594   0.006696   0.014290   0.000000  -0.085895   0.000000  -0.000000  -0.000000   54.4000     0.0573
    5.500   0.396780   0.009176   0.006789   0.015965   0.000000  -0.094382   0.000000  -0.000000  -0.000000   54.4000     0.0574
    6.000   0.432357   0.010904   0.006989   0.017893   0.000000  -0.102841   0.000000   0.000000   0.000000   54.4000     0.0574
    6.500   0.467807   0.012777   0.007753   0.020530   0.000000  -0.111268  -0.000000  -0.000000   0.000000   54.4000     0.0575
    7.000   0.503120   0.014793   0.008558   0.023350   0.000000  -0.119662  -0.000000   0.000000   0.000000   54.4000     0.0575
    7.500   0.538284   0.016950   0.009216   0.026166   0.000000  -0.128019  -0.000000   0.000000   0.000000   54.4000     0.0576
    8.000   0.573291   0.019247   0.009785   0.029033   0.000000  -0.136337  -0.000000   0.000000   0.000000   54.4000     0.0576
    8.500   0.608129   0.021683   0.010307   0.031989   0.000000  -0.144614  -0.000000  -0.000000  -0.000000   54.4000     0.0577
    9.000   0.642790   0.024254   0.010833   0.035087   0.000000  -0.152846   0.000000   0.000000   0.000000   54.4000     0.0578
    9.500   0.677263   0.026960   0.011346   0.038306   0.000000  -0.161032   0.000000  -0.000000  -0.000000   54.4000     0.0579
   10.000   0.711538   0.029798   0.011894   0.041692   0.000000  -0.169169   0.000000  -0.000000  -0.000000   54.4000     0.0579
   10.500   0.745607   0.032766   0.012484   0.045251   0.000000  -0.177254   0.000000   0.000000  -0.000000   54.4000     0.0580
   11.000   0.779459   0.035862   0.013069   0.048932   0.000000  -0.185286   0.000000   0.000000   0.000000   54.4000     0.0581
   11.500   0.813085   0.039084   0.013708   0.052792   0.000000  -0.193261   0.000000   0.000000   0.000000   54.4000     0.0582
   12.000   0.846477   0.042428   0.014546   0.056974   0.000000  -0.201177   0.000000   0.000000   0.000000   54.4000     0.0583
   12.500   0.879624   0.045893   0.015617   0.061510   0.000000  -0.209031   0.000000   0.000000   0.000000   54.4000     0.0584
   13.000   0.912518   0.049476   0.017294   0.066770   0.000000  -0.216822   0.000000   0.000000   0.000000   54.4000     0.0585
   13.500   0.945150   0.053173   0.019391   0.072565   0.000000  -0.224548   0.000000   0.000000   0.000000   54.4000     0.0586
   14.000   0.977512   0.056983   0.022247   0.079230   0.000000  -0.232204   0.000000   0.000000   0.000000   54.4000     0.0588


